# eid nid X Y Z SXX SYY SZZ SXY SYZ SXZ
     37.   2738. -0.138206E+00  0.237699E-01  0.466155E-02  0.165831E+08  0.449419E+08 -0.107936E+08  0.217168E+08 -0.352905E+08 -0.161527E+08
     37.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.227920E+08  0.338662E+08 -0.154216E+08  0.190019E+08 -0.333010E+08 -0.194650E+08
     37.   8508. -0.136108E+00  0.235213E-01  0.343978E-02  0.192272E+08  0.348995E+08 -0.170575E+08  0.141154E+08 -0.303469E+08 -0.195747E+08
     37.  10334. -0.136800E+00  0.226371E-01  0.633746E-02  0.282695E+08  0.397541E+08 -0.133594E+08  0.195255E+08 -0.290105E+08 -0.226151E+08
     38.   2771. -0.138368E+00  0.212068E-01  0.236833E-02  0.154698E+08  0.295952E+08 -0.170486E+08  0.241560E+08 -0.423619E+08 -0.129392E+08
     38.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.222466E+08  0.304088E+08 -0.141459E+08  0.229274E+08 -0.379596E+08 -0.185186E+08
     38.   2786. -0.139060E+00  0.217690E-01  0.502794E-02  0.241756E+08  0.403395E+08 -0.290919E+07  0.320111E+08 -0.414400E+08 -0.195619E+08
     38.   2772. -0.139240E+00  0.202646E-01  0.375697E-02  0.223291E+08  0.302058E+08 -0.953287E+07  0.294495E+08 -0.416385E+08 -0.177739E+08
     39.   8508. -0.136108E+00  0.235213E-01  0.343978E-02  0.193651E+08  0.295581E+08 -0.201117E+08  0.117129E+08 -0.294516E+08 -0.198574E+08
     39.  10334. -0.136800E+00  0.226371E-01  0.633746E-02  0.296161E+08  0.356446E+08 -0.156799E+08  0.165635E+08 -0.281450E+08 -0.228735E+08
     39.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.239330E+08  0.312676E+08 -0.175214E+08  0.152391E+08 -0.317867E+08 -0.209133E+08
     39.  11910. -0.136412E+00  0.199262E-01  0.282562E-02  0.213207E+08  0.260681E+08 -0.220484E+08  0.967282E+07 -0.287368E+08 -0.220278E+08
     40.   2738. -0.138206E+00  0.237699E-01  0.466155E-02  0.191049E+08  0.494572E+08 -0.519127E+07  0.267829E+08 -0.383270E+08 -0.170972E+08
     40.   2786. -0.139060E+00  0.217690E-01  0.502794E-02  0.267664E+08  0.454650E+08 -0.220144E+07  0.304659E+08 -0.386499E+08 -0.207928E+08
     40.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.247454E+08  0.359780E+08 -0.116318E+08  0.221157E+08 -0.348742E+08 -0.200272E+08
     40.  10334. -0.136800E+00  0.226371E-01  0.633746E-02  0.287944E+08  0.409207E+08 -0.108285E+08  0.223799E+08 -0.303589E+08 -0.226823E+08
     41.   2738. -0.138206E+00  0.237699E-01  0.466155E-02  0.150968E+08  0.477116E+08 -0.596990E+07  0.275727E+08 -0.404057E+08 -0.142998E+08
     41.   2771. -0.138368E+00  0.212068E-01  0.236833E-02  0.134293E+08  0.344041E+08 -0.161507E+08  0.235659E+08 -0.419621E+08 -0.120838E+08
